idioma,texto_entidade,tipo_entidade,contexto
en,Jeremy Clarkson,PERSON,"speaking about the column written by Jeremy Clarkson, prince Harry said: what he said was horrific, and it is hurtful and cruel towards my wife, but it also encourages other people around the united_kingdom and around the world, men particularly, to think it is acceptable to treat women that way."
en,Harry,PERSON,"speaking about the column written by Jeremy Clarkson, prince Harry said: what he said was horrific, and it is hurtful and cruel towards my wife, but it also encourages other people around the united_kingdom and around the world, men particularly, to think it is acceptable to treat women that way."
en,violence_against_women,GPE,"to use the words of my stepmother, there is a global pandemic of violence_against_women."
en,sun,PERSON,"⁠the sun said sorry, but what for?"
en,Harry,PERSON,a spokesperson for Harry and Meghan said the statement was a public relations stunt and that the sun had not reached out to Meghan.
en,Meghan,PERSON,a spokesperson for Harry and Meghan said the statement was a public relations stunt and that the sun had not reached out to Meghan.
en,Meghan,GPE,a spokesperson for Harry and Meghan said the statement was a public relations stunt and that the sun had not reached out to Meghan.
en,Clarkson,ORG,"the sun mentioned the strong response to Clarkson column, but made no mention of the actual impact of what he called a clumsy reference."
en,Sophie Turner,PERSON,"Sophie Turner and Joe Jonas have filed for divorce, and the conversations around this particular celebrity breakup have been harsh, shaming and undoubtedly sexist."
en,Joe Jonas,PERSON,"Sophie Turner and Joe Jonas have filed for divorce, and the conversations around this particular celebrity breakup have been harsh, shaming and undoubtedly sexist."
en,Paige,PERSON,well done Paige for rejecting the mother_role so many men put women into in relationships!
en,england,GPE,"the campaign to get misogyny recognised as a hate_crime has been a long one, but now women in england and Wales are being asked to share their experiences of gender_based harassment, assault and abuse."
en,Wales,GPE,"the campaign to get misogyny recognised as a hate_crime has been a long one, but now women in england and Wales are being asked to share their experiences of gender_based harassment, assault and abuse."
en,Diane Abbott,PERSON,"in the midst of dealing with racist comments from a conservative_party political donor, member of parliament Diane Abbott attended the questions of the prime minister today only to be ignored repeatedly by the speaker of the house while others debated her own experiences around her.⁠"
en,her.⁠,ORG,"in the midst of dealing with racist comments from a conservative_party political donor, member of parliament Diane Abbott attended the questions of the prime minister today only to be ignored repeatedly by the speaker of the house while others debated her own experiences around her.⁠"
en,Frank Hester,PERSON,"one the largest conservative_party donors, Frank Hester made racist, violent and misogynistic comments about labour, member of parliament Dianne Abbot in 2019."
en,Dianne Abbot,PERSON,"one the largest conservative_party donors, Frank Hester made racist, violent and misogynistic comments about labour, member of parliament Dianne Abbot in 2019."
en,Hester,PERSON,"while Hester claims they were rude, he completely failed to acknowledge the extreme, hateful misogynoir in these remarks."
en,Moya Bailey,PERSON,"misogynoir is a term coined by the queer black feminist Moya Bailey in 2010, referring to a specific form of sexism, rooted in racism."
en,Sojourner Truth,ORG,"the concept was also notably introduced by Sojourner Truth, who spoke out about misogynoir before the term was coined in her aint I a woman speech at the womens convention in 1851."
en,Frank Hester,PERSON,"There are plenty of ways that misogynoir manifests in real life and sadly, these absolutely vile and shameful comments from conservative_party donor Frank Hester are an example of exactly that."
en,Andrew Tate,PERSON,"a terrifying new study from kings college has revealed that gen z boys and men are more likely than baby boomers to believe feminism is harmful, and a fifth of men aged 16 to 29 think favourably of Andrew Tate."
en,Tate,PERSON,dangerous men with influence on social_media like Tate have been left unchecked to wreak havoc online for far too long and now the damage has been done.
en,Tate,PERSON,thankfully there are organizations out there who are determined to undo the work of people like Tate.
en,motley crue,ORG,"after a nude photo posted by motley crue drummer Tommy Lee was allowed to remain on instagram for hours, many of us are wondering why it seems like only womens bodies get censored on the app?⁠ photos of breastfeeding mothers with even the slightest sliver of areola showing are removed instantaneously."
en,Tommy Lee,PERSON,"after a nude photo posted by motley crue drummer Tommy Lee was allowed to remain on instagram for hours, many of us are wondering why it seems like only womens bodies get censored on the app?⁠ photos of breastfeeding mothers with even the slightest sliver of areola showing are removed instantaneously."
en,app?⁠,GPE,"after a nude photo posted by motley crue drummer Tommy Lee was allowed to remain on instagram for hours, many of us are wondering why it seems like only womens bodies get censored on the app?⁠ photos of breastfeeding mothers with even the slightest sliver of areola showing are removed instantaneously."
en,Eliza Hatch,PERSON,"because they were written by the very same men, says Eliza Hatch."
en,helpline,GPE,"we spoke to leading domestic_abuse charities about the women in danger during lockdown, and how we can help.if you want to access support over the phone at any time, the freephone, 24 hour national domestic_abuse helpline is 0808 2000 247."
en,united nations,ORG,"If you want to help someone who is struggling, the every day allyship is a new online platform by united nations which signposts services and advice to support women facing abuse during covid19 isolation.⁠⠀"
en,David Carrick,PERSON,"content warning.⁠ a metropolitan police officer has admitted to being a serial rapist who carried out more than 40 attacks against 12 women over the course of a 17 year period.⁠ David Carrick, 48, pleaded guilty at southwark crown court on monday to four counts of rape, false imprisonment and indecent assault relating to a 40 year old woman in 2003."
en,Carrick,PERSON,"it can now be reported that he had already pleaded guilty to a further 43 charges, including 20 counts of rape, in december.⁠ the scale of the offences committed by Carrick, who carried out many of his attacks during his time with the metropolitan police, makes him one of the worst sexual offenders in modern criminal history."
en,Jess Phillips,PERSON,"each year in parliament, member of parliament Jess Phillips reads out the names of women who have killed by men over the past 12 months."
en,Jess Phillips,PERSON,"Jess Phillips has said she is tired that womens_safety matters so much less than small boats in parliament, why is it a near empty chamber?"
en,the united nations,ORG,the united nations has said that their strategies for tackling violence_against_women and girls fall short of the level of binding legislation and are not rooted in human_rights language.
en,Brads,GPE,"many of you might remember that I attended a married at first sight event hosted by the show where, during the questions and answers, I called out Brads behaviour and asked them why they continued to put abusers on the show, I mention George from last season too."
en,George,PERSON,"many of you might remember that I attended a married at first sight event hosted by the show where, during the questions and answers, I called out Brads behaviour and asked them why they continued to put abusers on the show, I mention George from last season too."
en,Shona,GPE,"some abusers are far more open, others are much better at playing the nice guy, but I want people to be able to see their friends being treat like Shona and understand the need for a girls night where they ask her if she is ok and needs any support."
en,Brad,PERSON,to have a mate like Brad and to understand the need to tell him that you will not stand for his behaviour and explain why.
en,bbc,ORG,"this is an incredibly important piece of research that has just been published by the bbc, as it completely busts the myth that harassment happens when you are alone, or travelling in the middle of the night in an empty carriage."
en,bbc news,ORG,thanks bbc news for having me and my hot take on this new piece of research around the rise in reporting incidents of sexual_harassment on public transport.
en,Melissa Hoskins,PERSON,Melissa Hoskins deserved so much more than this.
en,David Carrick,PERSON,"from yesterdays news about police officer David Carrick to the murder of Sarah Everard by then serving metropolitan police officer Wayne Couzens, there are countless examples of times when the safety of women and girls has been compromised by those put in place to protect them.⁠ it is about time action was taken to stop more women from being harmed by the institution designed to protect them."
en,Sarah Everard,PERSON,"from yesterdays news about police officer David Carrick to the murder of Sarah Everard by then serving metropolitan police officer Wayne Couzens, there are countless examples of times when the safety of women and girls has been compromised by those put in place to protect them.⁠ it is about time action was taken to stop more women from being harmed by the institution designed to protect them."
en,Wayne Couzens,PERSON,"from yesterdays news about police officer David Carrick to the murder of Sarah Everard by then serving metropolitan police officer Wayne Couzens, there are countless examples of times when the safety of women and girls has been compromised by those put in place to protect them.⁠ it is about time action was taken to stop more women from being harmed by the institution designed to protect them."
en,Emmeline Pankhurst,PERSON,"as Emmeline Pankhurst said in 1908, it is our duty to make the world a better place for women."
en,new york,GPE,"maybe, maybe not, but you might have heard of the guerrilla girls, an anonymous feminist collective of women artists formed in 1980s in new york, who challenged discrimination in the art world."
en,Jill Posener,PERSON,"Jill Posener is a british feminist photographer, known for her exploration of lesbian identity, who played a key role in culture jamming in the united_kingdom, with her signature edge of wit and sarcasm."
en,solidarity,ORG,solidarity and support to all my trans and non binary friends and folks.
en,Sarah Everard,PERSON,click on the link in our bio for more powerful images from last nights vigil at clapham common bandstand where people paid their respects to Sarah Everard and all the women lost to violence on the streets and in their homes.
en,Halle Berry,PERSON,"whether she is campaigning for ending violence_against_women or defending herself and her family from shaming, oscar winner and hollywood icon Halle Berry has long been an inspiration to many."
en,Berry,ORG,"and her latest social_media interaction has prompted widespread praise, and delivered a masterclass in not allowing anyone to dampen your shine.⁠ on saturday, Berry, 56, shared an empowering photo of herself drinking wine in the nude on a balcony to instagram."
en,Berry,PERSON,Berry was also subjected to body_shaming and ageism by those who criticised her for sharing the image.⁠
en,spain,GPE,"spain has become the first european country to offer paid menstrual leave, in a progressive move by the government to guarantee better menstrual health.⁠ in a statement on thursday, the spanish congress said the new bill creates the possibility for women to call in sick  in case of incapacitating menstruation.⁠ according to politico, it was adopted by 185 votes against 154, with three abstentions."
en,congress,ORG,"spain has become the first european country to offer paid menstrual leave, in a progressive move by the government to guarantee better menstrual health.⁠ in a statement on thursday, the spanish congress said the new bill creates the possibility for women to call in sick  in case of incapacitating menstruation.⁠ according to politico, it was adopted by 185 votes against 154, with three abstentions."
en,vox,PERSON,"the conservative popular party and far right vox voted against the measure.⁠ on the same day, spanish congress also gave final approval to laws which expanded abortion and transgender rights for teenagers."
en,congress,ORG,"the conservative popular party and far right vox voted against the measure.⁠ on the same day, spanish congress also gave final approval to laws which expanded abortion and transgender rights for teenagers."
en,Artemisia Gentileschi,PERSON,Artemisia Gentileschi is one of the most celebrated female painter of the 17th_century and she was something so rare that it seems impossible: a 17th_century female artist who was able to use her art fight back against the male_violence that dominated the world she lived in.
en,Judith Slaying Holofernes,ORG,"Her rapist was set free, not because he was proven innocent but because he was protected by the pope.and so she painted her pain and painted her imagined revenge in the form of Judith Slaying Holofernes a tale from the old testamen."
en,Madonna,PERSON,"while her male contemporaries were painting adoring Madonna or a naked nymphs, her painting and her skill you can really feel.i could have looked at it all day."
en,Wayne Couzens,PERSON,"yesterday was the 3 year anniversary of the day serving officer Wayne Couzens abused his police powers, abducted, raped and murdered Sarah Everard."
en,Sarah Everard,PERSON,"yesterday was the 3 year anniversary of the day serving officer Wayne Couzens abused his police powers, abducted, raped and murdered Sarah Everard."
en,Sarah,PERSON,"it is hard to fathom how the horror of what happened to Sarah could get any worse, but since Lady Elish Angiolini inquiry published last week, it appears the police had plenty of opportunities to stop Couzens from offending, yet the harrowing fact of the matter remains that they did not, time and time again."
en,Lady Elish Angiolini,PERSON,"it is hard to fathom how the horror of what happened to Sarah could get any worse, but since Lady Elish Angiolini inquiry published last week, it appears the police had plenty of opportunities to stop Couzens from offending, yet the harrowing fact of the matter remains that they did not, time and time again."
en,Couzens,LOC,"it is hard to fathom how the horror of what happened to Sarah could get any worse, but since Lady Elish Angiolini inquiry published last week, it appears the police had plenty of opportunities to stop Couzens from offending, yet the harrowing fact of the matter remains that they did not, time and time again."
en,Sarah Everard,PERSON,"Couzens was a repeat sex offender before he ever crossed paths with Sarah Everard, including nine indecent_exposure allegations, but somehow managed to evade any consequences and kept working as a police officer."
en,Couzens,ORG,"the police had many opportunities to stop Couzens, but they turned a blind eye."
en,Meena Alexander,PERSON,"⁠in this weeks stylist extra cover story, stylists Meena Alexander recalls how therapy helped her break the people_pleaser habits of a lifetime."
en,Amy Key,PERSON,"all of us need moments to look forward to in life, and i  believe that being vulnerable about that desire and open to what those occasions could look like, will help all of us live lives that have a more interesting shape to them.⁠ without conventional celebratory moments such as a wedding or the birth of a child to mark, writer Amy Key began marking her alternative milestones with just as much flourish and you should too."
en,Patric Gagne,PERSON,"and with all due respect, the only person who gets to decide how i behave is me.⁠ portrayed as con artists or cold blooded killers in pop culture,Patric Gagne thinks sociopaths get a bad rap but then, she would say that."
en,Meena Alexander,PERSON,stylists Meena Alexander who happens to be a people_pleaser through and through meets the author of new book sociopath: a memoir and gets an even more eye opening conversation than she bargained for.
en,Trevor Noah,PERSON,"this reminds me of what Trevor Noah said the traditional man wants a woman to be subservient, but he never falls in love with subservient women."
en,Jessica Butcher,PERSON,and doubly depressing that it is quoting the new equalities commissioner Jessica Butcher.
en,Laura Bates,PERSON,read Laura Bates men who hate women for more info.
en,bin,ORG,"lets firmly leave this manipulative_tactic in the bin, its not hot, cute or sexy and it makes anyone who uses it look like an abusive predator."
en,Sasha Pallari,PERSON,"saying that out loud was like coming up for air.⁠ in our latest issue, content creator and campaigner Sasha Pallari tells stylist why getting divorced is the bravest thing she has ever done."
en,Anna,PERSON,"when Anna was 33, she found out that her husband of two years was cheating on her."
en,Coppola,PERSON,"⁠Sofia Coppola gave us a glimpse into the world of Priscilla Presley in priscilla, Emerald Fennell returned to our screens with the popular but divisive saltburn, Celine Song made her directorial debut with past lives and we have not even mentioned the behemoth that was Greta Gerwigs barbie.⁠ however, as awards season rolls on, female directors continue to be snubbed."
en,Priscilla Presley,ORG,"⁠Sofia Coppola gave us a glimpse into the world of Priscilla Presley in priscilla, Emerald Fennell returned to our screens with the popular but divisive saltburn, Celine Song made her directorial debut with past lives and we have not even mentioned the behemoth that was Greta Gerwigs barbie.⁠ however, as awards season rolls on, female directors continue to be snubbed."
en,Emerald Fennell,PERSON,"⁠Sofia Coppola gave us a glimpse into the world of Priscilla Presley in priscilla, Emerald Fennell returned to our screens with the popular but divisive saltburn, Celine Song made her directorial debut with past lives and we have not even mentioned the behemoth that was Greta Gerwigs barbie.⁠ however, as awards season rolls on, female directors continue to be snubbed."
en,Celine Song,PERSON,"⁠Sofia Coppola gave us a glimpse into the world of Priscilla Presley in priscilla, Emerald Fennell returned to our screens with the popular but divisive saltburn, Celine Song made her directorial debut with past lives and we have not even mentioned the behemoth that was Greta Gerwigs barbie.⁠ however, as awards season rolls on, female directors continue to be snubbed."
en,Greta Gerwigs,PERSON,"⁠Sofia Coppola gave us a glimpse into the world of Priscilla Presley in priscilla, Emerald Fennell returned to our screens with the popular but divisive saltburn, Celine Song made her directorial debut with past lives and we have not even mentioned the behemoth that was Greta Gerwigs barbie.⁠ however, as awards season rolls on, female directors continue to be snubbed."
en,Jacinda Ardern,PERSON,"the only solution is a reimaging of power and leadership as a position for any gender and where feminine_behaviours are seen as just as valuable as masculine ones, think Jacinda Ardern."
en,Kelsey Beth Crossley,PERSON,"in this video Kelsey Beth Crossley calmly and gently explains why she does not enjoy being told to smile by strange men on the tube, and she is interrupted about 10 times by both Andy West and the presenters."
en,Andy West,PERSON,"in this video Kelsey Beth Crossley calmly and gently explains why she does not enjoy being told to smile by strange men on the tube, and she is interrupted about 10 times by both Andy West and the presenters."
en,Jaysley Beck,PERSON,the harassment Jaysley Beck endured from her army boss should not under any circumstances be downplayed as a factor in what happened to her.
en,congress,ORG,"a new study from the trades union congress has revealed that 2 to 3 women experience harassment, bullying or verbal_abuse at work and that most victims do not report for fear of not being believed, or wanting to damage future career prospects or work relationships."
en,George convince,PERSON,"also after watching George convince all the other contestants and the experts, it is satisfying to see that his mum has him figured out."
en,Sarah Cooper,PERSON,for more hilarious tips from Sarah Cooper on how to make it as woman in a male_dominated workplace.
en,don,PERSON,"anything that makes it harder to work, showcases that you don not need to work, you are too wealthy for that."
en,Marie Antoinette,PERSON,no wonder they act like Marie Antoinette.
en,london,GPE,"in the united_kingdom, 64_percent of undergraduates in the arts are women, but 68_percent of the artists represented at top london commercial galleries are men?"
en,Bee,ORG,"this is one of the reasons why I teamed up with Bee illustrates to set up grassroots, feminist charity exhibition that platforms women and marginalised genders using their practice to call for change called: hysterical."
en,hysterical,PERSON,"hysterical is an annual art exhibition and series of creative events celebrating the artwork of marginalised creatives, which fundraises for charity each year."
en,Bee Illustrates,PERSON,"there will be a questions and answers session with Bee Illustrates and Eliza Hatch, performances, variety of artworks, crafts and stalls, make your own friendship bracelets, and even queer match making."
en,Eliza Hatch,PERSON,"there will be a questions and answers session with Bee Illustrates and Eliza Hatch, performances, variety of artworks, crafts and stalls, make your own friendship bracelets, and even queer match making."
en,the united arab emirates,GPE,"did you know that on any given day in 2021, there were 132,000 individuals living in modern slavery in the united arab emirates?"
en,dubai,GPE,"the exhibition provides a platform for important stories to be heard, featuring real testimonies from nigerian, ghanaian and kenyan women who were misled with the promise of well paid jobs in dubai, and instead forced into sex work."
en,the united arab emirates,GPE,"their passports are often confiscated by their traffickers, and the women are told that to regain their travel documents and their freedom, they must pay their employer huge sums.the exhibition is organised by send them home, a campaign group helping to repatriate nigerian women trafficked to the united arab emirates, working with the nigerian national agency for the prohibition of trafficking in persons and hope education project, a pilot education programme in ghana tackling human trafficking at its source."
en,ghana,GPE,"their passports are often confiscated by their traffickers, and the women are told that to regain their travel documents and their freedom, they must pay their employer huge sums.the exhibition is organised by send them home, a campaign group helping to repatriate nigerian women trafficked to the united arab emirates, working with the nigerian national agency for the prohibition of trafficking in persons and hope education project, a pilot education programme in ghana tackling human trafficking at its source."
en,⠀,PERSON,⠀
